AOA	CL	CD	CM
-7.695            -0.609059         0.0483872         0.0997251      
-7.94569          -0.625961         0.0520017         0.100452       
-8.19445          -0.642467         0.0556493         0.101068       
-8.44115          -0.65877          0.0593229         0.101576       
-8.68561          -0.674898         0.0630132         0.101973       
-8.9277           -0.69053          0.0667125         0.10226        
-9.16729          -0.706199         0.0704132         0.10244        
-9.40421          -0.721231         0.074096          0.10254        
-9.63835          -0.736133         0.0777629         0.102532       
-9.86948          -0.750623         0.0814036         0.102412       
-10.0976          -0.764719         0.0850124         0.102186       
-10.3224          -0.778803         0.0885793         0.101849       
-10.5438          -0.79211          0.0920961         0.101402       
-10.7618          -0.805506         0.0955568         0.100854       
-10.9761          -0.818224         0.098957          0.100231       
-11.1867          -0.830773         0.102285          0.0995028      
-11.3934          -0.842944         0.10553           0.0986658      
-11.5961          -0.854595         0.108687          0.0977235      
-11.7946          -0.866141         0.111746          0.0966751      
-11.9889          -0.876975         0.114702          0.0955206      
-12.1788          -0.887713         0.117546          0.0942629      
-12.3642          -0.897824         0.120314          0.0930539      
-12.545           -0.907579         0.122965          0.0917661      
-12.7211          -0.917031         0.125482          0.0903725      
-12.8924          -0.92585          0.127863          0.0888759      
-13.0588          -0.934542         0.1301            0.0872768      
-13.2201          -0.942521         0.132187          0.0855752      
-13.3764          -0.950304         0.134121          0.0837743      
-13.5274          -0.957521         0.135893          0.0818719      
-13.6731          -0.964285         0.137509          0.0798916      
-13.8134          -0.970763         0.138957          0.0778201      
-13.9482          -0.976555         0.140233          0.0756526      
-14.0775          -0.982179         0.141334          0.0733901      
-14.2011          -0.987075         0.142256          0.0710326      
-14.3191          -0.991723         0.142996          0.0685841      
-14.4312          -0.995818         0.143552          0.0660431      
-14.5375          -0.99942          0.143922          0.0634138      
-14.6378          -1.00271          0.144105          0.0606962      
-14.7321          -1.00532          0.144098          0.057892       
-14.8204          -1.00647          0.143865          0.0552458      
-14.9026          -1.00661          0.143438          0.0525884      
-14.9787          -1.00652          0.14283           0.0498384      
-15.0485          -1.00588          0.14204           0.0469955      
-15.1121          -1.00489          0.141072          0.0440634      
-15.1694          -1.00353          0.139925          0.0410438      
-15.2203          -1.0017           0.138598          0.037933       
-15.2649          -0.999285         0.137097          0.034739       
-15.303           -0.997475         0.135496          0.0314621      
-15.3347          -0.995113         0.13376           0.0281021      
-15.36            -0.992647         0.131844          0.0246637      
-15.3787          -0.989478         0.129749          0.0211442      
-15.391           -0.985864         0.127481          0.0175496      
-15.3966          -0.981933         0.125041          0.0138784      
-15.3957          -0.977239         0.122436          0.0101343      
-15.3883          -0.972426         0.119669          0.00631915     
-15.3742          -0.96681          0.116746          0.00243364     
-15.3536          -0.960994         0.113674          -0.00151658    
-15.3265          -0.954618         0.110462          -0.00554076    
-15.2928          -0.947761         0.107117          -0.00962623    
-15.2526          -0.940695         0.103641          -0.0137666     
-15.206           -0.932927         0.100044          -0.0179566     
-15.153           -0.925116         0.0963353         -0.022191      
-15.0936          -0.916641         0.0925219         -0.0264679     
-15.028           -0.907983         0.0886153         -0.0307801     
-14.9561          -0.898909         0.084621          -0.0351278     
-14.8781          -0.889338         0.0805491         -0.0395058     
-14.794           -0.87959          0.0764055         -0.0439144     
-14.7037          -0.869125         0.0721972         -0.0483524     
-14.6074          -0.858522         0.0679318         -0.052818      
-14.5049          -0.847249         0.0636197         -0.0573231     
-14.3965          -0.835659         0.0592684         -0.0618607     
-14.282           -0.823663         0.0548808         -0.0664282     
-14.1615          -0.81111          0.0504665         -0.0710219     
-14.0352          -0.798398         0.0460331         -0.0756404     
-13.9029          -0.78504          0.0415891         -0.0802814     
-13.7649          -0.771569         0.0371448         -0.0849407     
-13.6212          -0.757569         0.0327078         -0.0896168     
-13.4719          -0.743331         0.0282891         -0.0943042     
-13.3171          -0.728781         0.0238966         -0.0990014     
-13.1568          -0.714593         0.0195436         -0.103703      
-12.9913          -0.700581         0.0152292         -0.108406      
-12.8205          -0.686134         0.0109593         -0.113108      
-12.6446          -0.671662         0.00674294        -0.117803      
-12.4637          -0.656853         0.00258661        -0.12249       
-12.278           -0.641885         -0.00150039       -0.127163      
-12.0876          -0.626794         -0.005512         -0.13182       
-11.8925          -0.611372         -0.00944026       -0.136458      
-11.6929          -0.594739         -0.0130972        -0.14082       
-11.489           -0.57726          -0.0165744        -0.145058      
-11.2809          -0.559735         -0.0199242        -0.149254      
-11.0686          -0.541921         -0.0231408        -0.153406      
-10.8524          -0.523955         -0.0262168        -0.157508      
-10.6324          -0.505873         -0.0291485        -0.161562      
-10.4088          -0.487416         -0.0319293        -0.165563      
-10.1816          -0.469119         -0.0345535        -0.169506      
-9.95113          -0.450428         -0.0370177        -0.173391      
-9.71742          -0.431782         -0.0393168        -0.177214      
-9.48062          -0.412917         -0.0414398        -0.180948      
-9.24094          -0.393933         -0.0433901        -0.184613      
-8.99851          -0.374985         -0.0451661        -0.188209      
-8.7535           -0.355766         -0.0467649        -0.191732      
-8.50608          -0.33673          -0.0481846        -0.19518       
-8.25638          -0.317393         -0.0494246        -0.198553      
-8.00461          -0.298179         -0.0504826        -0.201846      
-7.75089          -0.278909         -0.0513593        -0.205059      
-7.49543          -0.259485         -0.0519922        -0.208009      
