AOA	CL	CD	CM
18.724            1.1767            0.0231327         -0.00563411
18.5971           1.1733            0.021123          -0.00554461
18.4705           1.17032           0.0191113         -0.00546869
18.344            1.16696           0.0170992         -0.00540665
18.2179           1.16415           0.0150888         -0.00535904
18.092            1.16107           0.0130788         -0.00532473
17.9665           1.15825           0.0110726         -0.00530521
17.8413           1.15557           0.00906896        -0.00529899
17.7164           1.15221           0.00713637        -0.00534713
17.592            1.14918           0.00522278        -0.00541883
17.4679           1.14582           0.00331269        -0.00550415
17.3442           1.14292           0.00140851        -0.0056038 
17.2209           1.13986           -0.000490542      -0.0057166 
17.0982           1.13695           -0.00238126       -0.00584385
16.9758           1.13426           -0.0042648        -0.00598437
16.854            1.13138           -0.00613955       -0.00613877
16.7327           1.12887           -0.00795869       -0.00632961
16.6119           1.12502           -0.00916128       -0.00683237
16.4917           1.12149           -0.0103531        -0.00734781
16.372            1.118             -0.0115348        -0.00787506
16.2529           1.1145            -0.0127051        -0.00841463
16.1345           1.11131           -0.0138639        -0.00896603
16.0166           1.10795           -0.0150108        -0.00952921
15.8994           1.10494           -0.0161452        -0.0101043 
15.7829           1.10187           -0.0172681        -0.0106909 
15.667            1.09898           -0.0183727        -0.0112897 
15.5519           1.09514           -0.018912         -0.0119398 
15.4375           1.0913            -0.0194406        -0.0126011 
15.3238           1.08776           -0.0199585        -0.0132735 
15.2108           1.08415           -0.0204659        -0.0139565 
15.0987           1.0808            -0.0209621        -0.0146504 
14.9873           1.07751           -0.0214475        -0.0153547 
14.8767           1.07431           -0.0219217        -0.0160696 
14.767            1.07132           -0.0223851        -0.0167948 
14.6581           1.06835           -0.0228378        -0.0175302 
14.5501           1.06533           -0.0231358        -0.0182489 
14.4429           1.06198           -0.0232287        -0.0189396 
14.3367           1.0587            -0.0233106        -0.0196436 
14.2314           1.05608           -0.0233846        -0.020358  
14.1269           1.05258           -0.0234546        -0.021078  
14.0235           1.04998           -0.0235105        -0.0218137 
13.921            1.04791           -0.0235613        -0.0225567 
13.8194           1.04424           -0.0236045        -0.0233084 
13.719            1.04295           -0.0236371        -0.0240718 
13.6193           1.03992           -0.0236643        -0.0248415 
13.5209           1.03799           -0.0236792        -0.0256242 
13.4234           1.03587           -0.0234961        -0.026338  
13.3271           1.03284           -0.0233034        -0.0270631 
13.2317           1.03168           -0.023105         -0.0277976 
13.1374           1.0286            -0.0229016        -0.0285407 
13.0444           1.02752           -0.0226897        -0.0292958 
12.9523           1.02526           -0.0224745        -0.0300573 
12.8615           1.02358           -0.02225          -0.0308312 
12.7717           1.02245           -0.0220208        -0.031612  
12.6831           1.02021           -0.0217837        -0.0324031 
12.5955           1.01974           -0.0215445        -0.0331972 
12.5095           1.01716           -0.0212884        -0.034012  
12.4245           1.01841           -0.021018         -0.0348266 
12.3404           1.01428           -0.0207067        -0.0356034 
12.2582           1.01516           -0.0203795        -0.0364006 
12.1765           1.01406           -0.020056         -0.0371953 
12.0966           1.01167           -0.0197181        -0.0380088 
12.0177           1.01372           -0.0193781        -0.0388264 
11.9401           1.00968           -0.0190319        -0.0396522 
11.864            1.01234           -0.0186742        -0.0404921 
11.7887           1.00957           -0.0183177        -0.0413311 
11.7154           1.01012           -0.0179452        -0.042189  
11.6428           1.01047           -0.0175743        -0.0430454 
11.5719           1.00831           -0.0171909        -0.0439163 
11.5023           1.01106           -0.0168025        -0.0447929 
11.4338           1.00801           -0.0164094        -0.0456746 
11.3671           1.01068           -0.0160036        -0.0465706 
11.3013           1.0093            -0.0155836        -0.0474456 
11.2374           1.00974           -0.0151444        -0.0483317 
11.1744           1.01121           -0.0147049        -0.049218  
11.1131           1.00947           -0.014255         -0.0501159 
11.0532           1.01265           -0.0137981        -0.0510214 
10.9946           1.01069           -0.0133376        -0.0519301 
10.9377           1.01326           -0.0128639        -0.052853  
10.8818           1.01323           -0.0123903        -0.0537745 
10.8278           1.01369           -0.0119026        -0.0547108 
10.775            1.01615           -0.0114126        -0.055648  
10.7237           1.01496           -0.0109133        -0.0565942 
10.674            1.01858           -0.010405         -0.0575485 
10.6255           1.01766           -0.0098937        -0.0585039 
10.5789           1.02032           -0.00936842       -0.0594728 
10.5334           1.0215            -0.00884225       -0.0604399 
