AOA	CL	CD	CM	
-6.35023          -0.291523         0.0184998         0.00911882     
-6.47563          -0.302232         0.0197062         0.00948442     
-6.6008           -0.312919         0.0209466         0.00987018     
-6.72571          -0.323724         0.0222011         0.010243       
-6.85033          -0.334364         0.0234688         0.0106024      
-6.97467          -0.34513          0.0247493         0.0109494      
-7.09868          -0.355782         0.0260415         0.0112826      
-7.22236          -0.366452         0.0273452         0.0116033      
-7.34568          -0.377136         0.0286593         0.0119103      
-7.46862          -0.387708         0.0299833         0.0122043      
-7.59118          -0.398386         0.0313164         0.0124852      
-7.71331          -0.408905         0.0326577         0.0127523      
-7.83503          -0.41951          0.034008          0.01301        
-7.95628          -0.430024         0.035368          0.0132619      
-8.07707          -0.440513         0.0367343         0.0135009      
-8.19736          -0.451025         0.0381058         0.0137263      
-8.31715          -0.461415         0.0394819         0.013938       
-8.43642          -0.471868         0.0408619         0.0141366      
-8.55513          -0.48221          0.0422447         0.0143212      
-8.67329          -0.492553         0.0436299         0.0144927      
-8.79087          -0.502859         0.0450164         0.0146502      
-8.90784          -0.513089         0.0464036         0.0147943      
-9.0242           -0.523338         0.0477907         0.0149248      
-9.13993          -0.533474         0.0491768         0.0150415      
-9.255            -0.543576         0.0505593         0.0151594      
-9.36939          -0.553572         0.0519388         0.0152666      
-9.4831           -0.563548         0.053315          0.0153604      
-9.59611          -0.573477         0.054687          0.0154403      
-9.70838          -0.583323         0.0560542         0.0155064      
-9.81992          -0.593161         0.0574156         0.0155589      
-9.9307           -0.602906         0.0587706         0.0155975      
-10.0407          -0.612621         0.0601183         0.0156224      
-10.1499          -0.622268         0.061458          0.0156335      
-10.2583          -0.631856         0.0627888         0.0156309      
-10.3659          -0.641392         0.0641101         0.0156145      
-10.4726          -0.650853         0.0654215         0.0155866      
-10.5785          -0.660254         0.0667272         0.0155675      
-10.6835          -0.669639         0.0680194         0.0155313      
-10.7876          -0.678688         0.069299          0.0154815      
-10.8908          -0.688094         0.0705676         0.0154225      
-10.993           -0.697215         0.0718186         0.0153432      
-11.0944          -0.705979         0.0730565         0.0152535      
-11.1948          -0.715386         0.0742791         0.0151507      
-11.2941          -0.723914         0.0754843         0.0150322      
-11.3926          -0.733034         0.0766743         0.0149033      
-11.49            -0.741663         0.0778442         0.0147565      
-11.5864          -0.750286         0.0789976         0.0145995      
-11.6817          -0.759102         0.0801303         0.0144262      
-11.7761          -0.767281         0.0812696         0.0143298      
-11.8693          -0.77605          0.0823941         0.0142383      
-11.9615          -0.784078         0.0834957         0.0141303      
-12.0526          -0.79252          0.0845774         0.0140113      
-12.1426          -0.800642         0.0856343         0.0138746      
-12.2315          -0.808612         0.0866696         0.0137266      
-12.3192          -0.816837         0.0876801         0.0135627      
-12.4059          -0.824459         0.0886705         0.0133915      
-12.4912          -0.832844         0.0896271         0.0131928      
-12.5754          -0.839396         0.0905597         0.0129825      
-12.6586          -0.848274         0.0914729         0.0127687      
-12.7403          -0.855071         0.0923516         0.0125292      
-12.8211          -0.862721         0.0932114         0.0122881      
-12.9005          -0.870421         0.0940384         0.0120314      
-12.9787          -0.876816         0.0948434         0.0117739      
-13.0557          -0.885075         0.0956187         0.0115014      
-13.1313          -0.890994         0.0963615         0.0112101      
