AOA	CL	CD	CM   
17.4239           1.09193           -0.0870668        0.0837327         
17.1671           1.08313           -0.0905048        0.0838205         
16.9123           1.07517           -0.0938461        0.0837927         
16.6596           1.06749           -0.0970914        0.0836526         
16.4091           1.05806           -0.098998         0.0828264         
16.1609           1.04955           -0.100672         0.0818312         
15.9153           1.04053           -0.102246         0.0807304         
15.6724           1.03275           -0.103716         0.079523          
15.4324           1.02433           -0.104716         0.0781867         
15.1955           1.01515           -0.104795         0.0766885         
14.9616           1.00676           -0.104785         0.07509           
14.7312           0.997931          -0.104686         0.0733899         
14.5042           0.990906          -0.104499         0.071589          
14.2808           0.982502          -0.103888         0.0697501         
14.0613           0.974828          -0.102812         0.0678789         
13.8456           0.967343          -0.101674         0.0659126         
13.634            0.960184          -0.100473         0.0638493         
13.4265           0.954244          -0.0992137        0.0616925         
13.2234           0.94766           -0.0977998        0.0594787         
13.0247           0.942193          -0.0960135        0.0572873         
12.8305           0.936355          -0.0941882        0.0550046         
12.6411           0.931622          -0.0923253        0.0526289         
12.4564           0.927414          -0.0904297        0.0501653         
12.2767           0.923329          -0.0885016        0.0476131         
12.102            0.92053           -0.0865024        0.0450065         
11.9325           0.917203          -0.0844032        0.0423713         
11.7682           0.915326          -0.0822803        0.0396503         
11.6092           0.91338           -0.0801364        0.0368479         
11.4557           0.912248          -0.0779706        0.0339626         
11.3076           0.911854          -0.075786         0.0309995         
11.1652           0.911411          -0.0735822        0.027959          
11.0285           0.91234           -0.0713476        0.0248581         
10.8976           0.91284           -0.0690628        0.0217212         
10.7726           0.914636          -0.06676          0.0185102         
10.6534           0.916457          -0.0644411        0.0152297         
10.5404           0.918916          -0.0621044        0.0118792         
10.4333           0.922179          -0.0597514        0.00846319        
10.3324           0.925348          -0.0573808        0.00498279        
10.2377           0.929801          -0.0549916        0.00143986        
10.1492           0.93404           -0.0525827        -0.00216265       
10.067            0.939294          -0.0501532        -0.00582272       
9.99115           0.944674          -0.0477027        -0.00953698       
9.92171           0.950688          -0.0452097        -0.0132679        
9.85863           0.957229          -0.0426951        -0.0170503        
9.80199           0.963949          -0.0401581        -0.0208826        
9.75197           0.971548          -0.0375937        -0.0247678        
9.70833           0.979676          -0.0350038        -0.0286975        
9.67123           0.987472          -0.0323855        -0.0326706        
9.64077           0.996906          -0.0297355        -0.0366867        
9.61678           1.00584           -0.0270539        -0.0407405        
9.5995            1.01571           -0.0243353        -0.044834         
9.58873           1.02615           -0.0215804        -0.0489609        
9.58463           1.03641           -0.0187846        -0.0531218        
9.58714           1.04814           -0.0159463        -0.0573131        
9.59623           1.05917           -0.0130633        -0.0615318        
9.61199           1.07168           -0.0101315        -0.0657774        
9.63426           1.0839            -0.00715102       -0.0700436        
9.66317           1.0968            -0.00411678       -0.0743308        
9.69854           1.11034           -0.00102947       -0.0786323        
9.74041           1.12357           0.00211429        -0.082946         
9.78869           1.13813           0.00531549        -0.0872671        
9.84327           1.15201           0.00857439        -0.0915901        
9.9042            1.16707           0.0118945         -0.0959131        
9.97124           1.18199           0.0152746         -0.100229         
10.0445           1.19726           0.0187195         -0.104539         
10.1238           1.21331           0.0222296         -0.108836         
10.2092           1.22897           0.0258092         -0.113122         
10.3006           1.24586           0.0294772         -0.117359         
10.3979           1.26227           0.0332231         -0.121575         
10.5012           1.27967           0.0370519         -0.125776         
10.6104           1.29721           0.0409641         -0.129958         
10.7254           1.31493           0.0449657         -0.134122         
10.8462           1.33354           0.0490579         -0.138265         
10.9728           1.35172           0.0532435         -0.142386         
11.105            1.37102           0.0575251         -0.146483         
11.2428           1.38993           0.0619026         -0.150551         
11.3861           1.40956           0.0663795         -0.154591         
11.5348           1.42932           0.0709565         -0.158592         
11.6888           1.44909           0.0756633         -0.162511         
11.848            1.46953           0.0804697         -0.166389         
12.0123           1.48959           0.0853764         -0.170223         
12.1816           1.51049           0.0903838         -0.17401          
12.3557           1.53107           0.0954896         -0.177747         
12.5346           1.55214           0.100696          -0.181432         
12.718            1.57337           0.105998          -0.185061         
12.906            1.59441           0.111439          -0.18859          
13.0983           1.61602           0.117013          -0.192017         
13.2949           1.63718           0.122681          -0.19538          
13.4956           1.65902           0.128442          -0.198676         
13.7003           1.68059           0.134293          -0.201902         
13.9088           1.70242           0.140232          -0.205057         
14.121            1.72431           0.1463            -0.208114         
14.3369           1.74562           0.152685          -0.210978         
14.5561           1.76756           0.159149          -0.213763         
14.7786           1.78875           0.165686          -0.216465         
15.0042           1.81068           0.172297          -0.219084         
15.2329           1.83224           0.178973          -0.221617         
15.4644           1.85354           0.185923          -0.224013         
15.6986           1.87462           0.19318           -0.226257         
15.9353           1.89521           0.20049           -0.228409         
16.1745           1.91639           0.207846          -0.23047          
16.4159           1.93686           0.21524           -0.232437         
16.6594           1.95773           0.222758          -0.23432          
16.9048           1.97706           0.230928          -0.23617          
17.1521           1.99628           0.23911           -0.237925         
17.4009           2.01575           0.247294          -0.239583         
17.6513           2.03448           0.25547           -0.241143         
17.903            2.05373           0.263658          -0.242623         
18.1558           2.07094           0.272625          -0.244556         
18.4096           2.08841           0.28155           -0.246392         
18.6643           2.10557           0.290414          -0.248129         
18.9197           2.12233           0.299208          -0.249767         
19.1757           2.13925           0.307914          -0.251312         
19.432            2.15466           0.31652           -0.252836         
19.6885           2.17043           0.32502           -0.254259         
19.9451           2.18543           0.333397          -0.255578         
20.2017           2.20036           0.34164           -0.256796         
20.458            2.21502           0.349754          -0.257999         
20.7139           2.22898           0.357807          -0.259448         
20.9692           2.24301           0.365697          -0.260793         
21.2239           2.25614           0.373408          -0.262032         
21.4777           2.26933           0.38093           -0.263167         
21.7304           2.28152           0.38825           -0.264226         
21.9821           2.29305           0.395388          -0.265248         
22.2324           2.30453           0.402307          -0.266164         
22.4813           2.31487           0.408992          -0.266971         
22.7286           2.32528           0.415433          -0.267673         
22.9741           2.33474           0.421692          -0.268356         
23.2177           2.34372           0.427812          -0.269065         
23.4593           2.35241           0.433664          -0.269662         
23.6987           2.35994           0.439245          -0.27015          
23.9358           2.36778           0.44455           -0.27053          
24.1704           2.37421           0.449583          -0.270817         
24.4025           2.38022           0.454362          -0.271025         
24.6317           2.38558           0.458841          -0.27112          
24.8582           2.39007           0.463022          -0.271107         
25.0816           2.39484           0.466896          -0.270984         
25.3018           2.39781           0.470459          -0.270749         
25.5189           2.40095           0.473735          -0.270406         
25.7325           2.40279           0.476699          -0.269953         
25.9426           2.40438           0.479352          -0.269394         
26.1491           2.40563           0.481682          -0.268724         
26.3518           2.40573           0.483692          -0.267948         
26.5507           2.40612           0.485485          -0.267077         
26.7455           2.40492           0.48703           -0.266106         
26.9363           2.40404           0.488264          -0.265029         
27.1227           2.40216           0.489176          -0.263844         
27.3049           2.39981           0.489773          -0.262556         
27.4826           2.39736           0.490049          -0.261161         
27.6558           2.3938            0.490478          -0.259845         
27.8243           2.39066           0.490928          -0.258551         
27.988            2.38625           0.491058          -0.257147         
28.147            2.38192           0.490877          -0.255636         
28.3009           2.37689           0.490376          -0.254016         
28.4498           2.37124           0.489566          -0.25229          
28.5935           2.36567           0.488445          -0.250458         
28.732            2.35899           0.48717           -0.248533         
28.8653           2.35271           0.485664          -0.246509         
28.9931           2.3453            0.483863          -0.24438          
29.1154           2.33789           0.481778          -0.242151         
29.2322           2.32995           0.479404          -0.239819         
29.3433           2.32134           0.476755          -0.237388         
