damp_x,damp_y,damp_tors,stiff_x,stiff_y,stiff_tors,damp_edge,stiff_edge,damp_flap,stiff_flap
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.6096753286229015e-05,-0.0013610476823379,-0.0007806004618937,-1.2326649089339102e-06,-0.0001047765172593,-2.4036965724211382e-05,-4.612946872939845e-05,-1.2351834181316298e-06,-0.001361046573918631,-0.00010477648759950716
-6.143180219866545e-05,-0.0028669325134779,-0.0015808829948493,-4.096328985689928e-06,-0.0004302557765975,-9.675393128981858e-05,-6.170918890211277e-05,-4.13795790429741e-06,-0.002866926556290399,-0.0004302553782476857
-7.820570278242801e-05,-0.004356844331153,-0.0023677400101818,-7.773639180358949e-06,-0.0009863575224761,-0.0002183435542315,-7.915698978718098e-05,-7.989003800548266e-06,-0.004356827151588132,-0.0009863558016403467
-0.0001007510118897,-0.0058126102885117,-0.0031379526515271,-1.2404511595123392e-05,-0.0017692225949198,-0.0003878798948537,-0.00010300559892166346,-1.3090756518871551e-05,-0.005812570771964816,-0.0017692176503687805
-0.0001288420525817,-0.0072336858621358,-0.0038910493262556,-1.8219534076035505e-05,-0.0027735503540569,-0.0006043233737693,-0.00013321351423361825,-1.989565195434819e-05,-0.0072336066789812645,-0.002773538837107643
-0.0001617630472291,-0.0086215542577063,-0.0046268754492673,-2.540632517483247e-05,-0.0039941117065277,-0.0008666151297515,-0.0001692345549118009,-2.886767283601659e-05,-0.008621410833932362,-0.003994088189192314
-0.0001988091239531,-0.0099778159008486,-0.0053453111420515,-3.4098119389145066e-05,-0.0054259141212986,-0.0011736878500385,-0.00021051982562308926,-4.04664239207445e-05,-0.009977575688613632,-0.005425870363544314
-0.000239333417234,-0.0113039672338759,-0.0060462388836804,-4.4376938757925694e-05,-0.0070642025670781,-0.0015244669116469,-0.00025656565647235526,-5.514602609138214e-05,-0.011303589242938004,-0.007064126707329978
-0.0002827414210233,-0.0126013862672954,-0.006729541491281,-5.627779453384565e-05,-0.0089044423317114,-0.0019178704643786,-0.00030690871274636046,-7.335524751318113e-05,-0.012600820830834147,-0.008904318021982022
-0.0003284807481689,-0.0138713422025426,-0.0073951036116005,-6.979239151934965e-05,-0.0109423014912102,-0.0023528094975697,-0.0003611164345488494,-9.553732546496856e-05,-0.013870530956767869,-0.010942106996456303
-0.0003760317895594,-0.0151150067422435,-0.008042813441794,-8.487224332038261e-05,-0.0131736350100909,-0.0028281880057573,-0.0004187783094751277,-0.00012212937074852865,-0.015113882805299862,-0.013173342290154745
-0.0004248997042647,-0.0163334644600624,-0.0086725642949231,-0.0001014312643959,-0.0155944705297622,-0.0033429032555408,-0.00047949841996247145,-0.00015356140685791336,-0.016331952800937775,-0.015594044321449856
