aero_drag,aero_lift,aero_mom,damp_edge,damp_flap,damp_tors
0.0,0.0,0.0,0.0,0.0,0.0
5.165491728725867e-09,2.561556586242265e-05,1.2494018297412508e-06,0.0,0.0,0.0
1.327164268602043e-08,7.920746265438089e-05,3.7748104411767897e-06,-1.139567097235494e-10,-2.852113589492997e-07,-3.752653309368425e-08
1.79910617601067e-08,0.00013326999109920272,6.286541950046446e-06,-2.0393072905338576e-10,-1.2654761938665388e-06,-1.539147678770555e-07
2.1946240184634098e-08,0.00018480828661101228,8.731072815268926e-06,-3.3555331698189603e-10,-2.9225470098253533e-06,-3.45262063483647e-07
2.5790603676840568e-08,0.0002339217929682682,1.1107390010321221e-05,-5.682044868876099e-10,-5.201844338583475e-06,-6.064201289130781e-07
2.97715481718751e-08,0.00028098022533175863,1.3418261573656431e-05,-9.503412189696885e-10,-8.056207172625469e-06,-9.324258573890184e-07
3.4059970055664615e-08,0.00032633916640348006,1.5666465549081804e-05,-1.5337729799479495e-09,-1.1443991496142626e-05,-1.318428109193684e-06
3.880033400849028e-08,0.00037031836728459674,1.785448002346307e-05,-2.373389402169786e-09,-1.532748523818537e-05,-1.7596521142626732e-06
4.411913481361387e-08,0.0004132044738626538,1.998449350676174e-05,-3.525169787118221e-09,-1.9672229372296358e-05,-2.2513936651903833e-06
5.012738125241853e-08,0.00045525522999573004,2.2058439957860834e-05,-5.044306079439044e-09,-2.444660286540186e-05,-2.7890210120321863e-06
5.6922070889618085e-08,0.0004967032014656277,2.407803126159895e-05,-6.983570200557744e-09,-2.9621497924966236e-05,-3.3679789023129843e-06
6.458736243917067e-08,0.0005377589581582074,2.6044785410418475e-05,-9.391854469289747e-09,-3.517004672091442e-05,-3.9837935679447254e-06
7.319556856467271e-08,0.000578613790523927,2.7960050827780746e-05,-1.231281506156548e-08,-4.106738757383543e-05,-4.632078303284105e-06
8.280800910226037e-08,0.000619442032267,2.9825027364083614e-05,-1.5783572162393895e-08,-4.729046392628866e-05,-5.3085394378546045e-06
9.347574991787987e-08,0.0006604030499044319,3.1640784432195234e-05,-1.983344156801506e-08,-5.381785098088067e-05,-6.008982549892643e-06
1.0524024745655726e-07,0.0007016429502126964,3.340827668692834e-05,-2.4482688832144786e-08,-6.062960575492179e-05,-6.729318789364901e-06
1.1813391570436653e-07,0.0007432960485838898,3.512835759752447e-05,-2.9741309528127452e-08,-6.770713696547146e-05,-7.465571196801005e-06
1.3218062954110623e-07,0.0007854861346146101,3.680179121491497e-05,-3.5607848836597046e-08,-7.503309171028357e-05,-8.213880919695782e-06
1.473961761928992e-07,0.0008283275656180415,3.842926239427764e-05,-4.206828123063332e-08,-8.259125637564442e-05,-8.97051324192108e-06
1.6378866453775182e-07,0.0008719262140105135,4.001138569763465e-05,-4.90949770536962e-08,-9.036646959601642e-05,-9.731863353791452e-06
1.81358900389514e-07,0.0009163802905248268,4.154871317024255e-05,-5.664578763694232e-08,-9.8344545424086e-05,-1.0494461801338026e-05
2.0010073448567208e-07,0.0009617810618319167,4.304174115752057e-05,-6.466328453064249e-08,-0.00010651220515263846,-1.1254979563115207e-05
2.200013887216121e-07,0.0010082134783048567,4.4490916306011525e-05,-7.307419159436511e-08,-0.00011485701646946739,-1.2010232711623467e-05
2.410417651735497e-07,0.0010557567252528252,4.589664087139683e-05,-8.17890512095608e-08,-0.00012336733882990582,-1.2757186624298977e-05
2.631967416151519e-07,0.001104484708917592,4.725927743938152e-05,-9.070216781406489e-08,-0.00013203227410411473,-1.3492959716099965e-05
2.864354564932655e-07,0.001154466486803607,4.8579153149547416e-05,-9.969187335164249e-08,-0.00014084162170265082,-1.4214826672087097e-05
3.1072158575414467e-07,0.0012057666504532057,4.985656349965386e-05,-1.0862116010378574e-07,-0.000149785837508046,-1.492022116414023e-05
3.3601361336559443e-07,0.0012584456675448603,5.1091775795863615e-05,-1.1733872673795846e-07,-0.00015885599604554716,-1.560673804113415e-05
3.622650969847585e-07,0.0013125601891422688,5.2285032305057736e-05,-1.2568048327101918e-07,-0.00016804375541553678,-1.6272134986564298e-05
3.8942492984057606e-07,0.0013681633270369773,5.3436553156457415e-05,-1.3347156001198005e-07,-0.00017734132458602857,-1.6914333641836277e-05
4.1743759960351175e-07,0.0014253049053708656,5.4546539032624474e-05,-1.4052886441381497e-07,-0.00018674143270791432,-1.753142019723476e-05
4.462434447725256e-07,0.0014840316900872706,5.561517368346318e-05,-1.4666422813407362e-07,-0.00019623730017008227,-1.8121645456010456e-05
4.758632168657081e-07,0.0015443875992155783,5.663680862781702e-05,-1.5168818448064075e-07,-0.00020582261115777804,-1.8683424380119934e-05
5.06942323343613e-07,0.001606413896377946,5.756554243025226e-05,-1.5541441380950032e-07,-0.00021549148751654558,-1.921533512891295e-05
5.38762748449829e-07,0.00167015083999457,5.844845875496918e-05,-1.576662999066636e-07,-0.0002252384642776547,-1.97159348692985e-05
5.712749200274518e-07,0.001735648268751048,5.928469733900177e-05,-1.5829222997413269e-07,-0.00023505846986323457,-2.0182499366600023e-05
