alpha	C_l	C_d	C_m
-10.3	-0.709	0.03011	-0.1239
-8.2	-0.507	0.01912	-0.129
-6.2	-0.319	0.00989	-0.1294
-4.2	-0.114	0.00662	-0.1339
-2.2	0.12	0.00723	-0.1374
0	0.328	0.01126	-0.1403
2	0.586	0.01216	-0.1454
4	0.833	0.00926	-0.1458
6.2	1.032	0.01824	-0.1439
8.2	1.233	0.02076	-0.1412
10.1	1.322	0.02675	-0.1223
11.2	1.317	0.03283	-0.1082
12.1	1.27	0.0326	-0.0991
13.1	1.16	0.0469	-0.0976
14.2	1.16	0.064	-0.0995
15	1.15	0.0774	-0.1033
16.1	1.13	0.0967	-0.1044
17.2	1.13	0.1153	-0.11
18.2	1.13	0.1279	-0.1127
19.2	1.12	0.1485	-0.1172
20.2	1.13	0.1752	-0.1271
22.1	1.08	0.224	-0.1437
24.1	1.08	0.2832	-0.164
26.1	0.98	0.5531	-0.2442
28.1	1.09	0.6512	-0.2757
30	1.15	0.7325	-0.2958
