AOA,CL,CD,CM
8.5,1.11,0.0296,-0.0874
8.5,1.16,0.0328,-0.0969
8.5,1.19,0.0337,-0.1017
9.5,1.32,0.046,-0.1089
11.1,1.42,0.0638,-0.1119
12.6,1.52,0.0738,-0.1101
14.7,1.62,0.1017,-0.1165
16.8,1.73,0.1429,-0.1401
18.9,1.73,0.2102,-0.1682
21.0,1.91,0.5089,-0.2448
23.0,1.74,0.7255,-0.3917
24.9,1.43,0.757,-0.3953
26.7,1.45,0.6855,-0.2954
28.0,1.94,0.9454,-0.3899
28.8,1.56,0.8452,-0.3303
29.0,1.61,0.8716,-0.3537
29.5,1.56,0.8742,-0.3433
29.6,1.59,0.8888,-0.3455
29.3,1.5,0.8511,-0.3437
28.4,1.32,0.6711,-0.2566
27.2,1.33,0.6665,-0.2831
25.1,1.1,0.4959,-0.2056
23.3,1.05,0.3859,-0.1687
20.9,0.98,0.3197,-0.163
18.9,0.87,0.2283,-0.1221
16.8,0.83,0.1414,-0.0721
14.6,0.83,0.0933,-0.0491
12.6,0.88,0.0641,-0.0457
11.0,0.94,0.0511,-0.0552
10.0,0.98,0.0398,-0.0627
9.0,1.04,0.0351,-0.0755
8.5,1.06,0.031,-0.0844
8.5,1.16,0.0314,-0.092
8.5,1.21,0.0321,-0.0994
9.0,1.27,0.0423,-0.1074
10.5,1.36,0.0524,-0.1087
12.1,1.53,0.0746,-0.1157
14.2,1.6,0.0949,-0.1147
16.3,1.66,0.134,-0.1342
18.4,1.75,0.1844,-0.1595
20.4,1.84,0.3738,-0.2231
22.5,1.85,0.732,-0.3756
24.2,1.47,0.6968,-0.3461
26.1,1.37,0.6652,-0.2934
27.7,1.69,0.8096,-0.3343
28.2,1.59,0.8664,-0.3889
29.3,1.43,0.775,-0.292
30.1,1.43,0.8134,-0.3086
29.5,1.34,0.7535,-0.2851
29.4,1.36,0.7593,-0.2881
29.2,1.23,0.6769,-0.2469
27.2,1.23,0.6234,-0.2444
26.2,1.16,0.5384,-0.2115
24.0,1.08,0.4542,-0.1911
22.0,1.05,0.3405,-0.1528
19.4,0.95,0.2701,-0.1459
17.5,0.83,0.1762,-0.0947
15.2,0.83,0.1182,-0.0736
13.7,0.85,0.0784,-0.0478
11.6,0.94,0.0605,-0.06
10.5,0.94,0.045,-0.0537
9.0,1.03,0.0336,-0.0735
8.5,1.07,0.0288,-0.0793
8.5,1.1,0.0302,-0.0874
8.4,1.16,0.0314,-0.0954
8.5,1.23,0.0306,-0.1051
10.0,1.35,0.0501,-0.1076
11.6,1.44,0.0634,-0.1059
13.3,1.6,0.088,-0.1198
15.2,1.62,0.1038,-0.1134
17.3,1.71,0.1498,-0.1387
19.4,1.77,0.259,-0.1994
21.8,1.95,0.5485,-0.2355
23.6,1.67,0.7368,-0.3999
25.6,0.96,0.4846,-0.1757
27.2,1.42,0.6676,-0.2773
28.2,1.9,1.0003,-0.4327
29.3,1.61,0.8782,-0.3639
29.6,1.67,0.8908,-0.3584
29.5,1.48,0.7955,-0.3086
29.5,1.58,0.8579,-0.347
29.3,1.41,0.8011,-0.3175
27.7,1.15,0.6036,-0.2286
26.7,1.14,0.5446,-0.2099
24.6,1.11,0.4855,-0.2026
22.5,1.04,0.3796,-0.1564
20.4,0.94,0.2901,-0.1492
18.3,0.82,0.193,-0.0991
15.8,0.78,0.1197,-0.0661
14.2,1.0,0.1041,-0.0635
12.1,0.86,0.0521,-0.0444
10.6,0.95,0.0378,-0.0523
9.5,0.98,0.0344,-0.0646
9.0,1.05,0.0344,-0.0777
8.5,1.13,0.033,-0.0941
8.4,1.16,0.0266,-0.089
8.5,1.2,0.0265,-0.0917
9.5,1.31,0.0487,-0.1131
11.1,1.42,0.0568,-0.1056
12.6,1.52,0.0783,-0.1191
14.7,1.64,0.1062,-0.1262
16.8,1.66,0.1322,-0.1245
18.9,1.74,0.2118,-0.1734
20.9,1.91,0.4964,-0.2503
23.0,1.84,0.7564,-0.4047
25.1,1.19,0.6024,-0.2632
26.7,1.44,0.6676,-0.2837
27.9,2.08,0.9779,-0.376
28.8,1.71,0.9603,-0.3965
29.3,1.57,0.8251,-0.3109
29.3,1.66,0.9099,-0.3641
29.4,1.33,0.7356,-0.275
29.3,1.44,0.7989,-0.3171
28.5,1.19,0.6723,-0.2646
27.2,1.21,0.5969,-0.2325
25.1,1.13,0.4824,-0.2003
23.2,0.98,0.3828,-0.1731
21.0,0.9,0.3015,-0.1397
18.8,0.85,0.2324,-0.122
16.8,0.81,0.1571,-0.0857
