alpha,C_l,C_d,C_m
-20.2,-0.41,0.2726,0.0033
-18.2,-0.54,0.2696,-0.004
-16.1,-0.48,0.2341,0.0107
-14.3,-0.54,0.1967,-0.0137
-12.2,-0.48,0.1423,-0.0454
-10.2,-0.507,0.05406,-0.1017
-8.4,-0.396,0.01214,-0.1127
-6.2,-0.203,0.00487,-0.114
-4.1,0.019,0.00254,-0.1137
-2.2,0.2,0.00319,-0.1145
-0.1,0.435,0.00427,-0.1139
-0.1,0.427,0.00546,-0.114
-0.1,0.434,0.00571,-0.1141
2.0,0.634,0.00819,-0.1103
4.1,0.836,0.01063,-0.1048
6.0,0.994,0.01072,-0.0965
8.1,1.091,0.02231,-0.0855
10.2,1.17,0.03666,-0.0776
11.3,1.2,0.045,-0.0739
12.3,1.23,0.0569,-0.0745
13.1,1.25,0.0655,-0.0753
14.1,1.27,0.0836,-0.0787
15.1,1.1,0.098,-0.0806
16.1,0.99,0.1648,-0.1161
17.1,0.99,0.2031,-0.1299
18.2,0.97,0.2375,-0.1383
19.0,0.97,0.2603,-0.1454
20.0,0.98,0.2954,-0.1552
22.1,1.01,0.3674,-0.1752
23.9,1.06,0.443,-0.1972
26.0,1.12,0.5201,-0.2142
28.0,1.16,0.6107,-0.2338
29.9,1.23,0.7118,-0.2633
31.9,1.32,0.8351,-0.3008
34.0,1.39,0.9557,-0.3377
35.8,1.41,1.0384,-0.3562
37.9,1.41,1.1204,-0.3715
40.0,1.41,1.2124,-0.3937
